Iteration 0:
BasicTest.foo: in01: r0:{new00}


Iteration 1:
BasicTest.foo: in01: r0:{new00}

BasicTest.foo: in02: r0:{new00}
BasicTest.foo: in02: r1:{new01}


Iteration 2:
BasicTest.foo: in01: r0:{new00}

BasicTest.foo: in02: r0:{new00}
BasicTest.foo: in02: r1:{new01}

BasicTest.foo: in03: r0:{new00}
BasicTest.foo: in03: r1:{new01}


Iteration 3:
BasicTest.foo: in01: r0:{new00}

BasicTest.foo: in02: r0:{new00}
BasicTest.foo: in02: r1:{new01}

BasicTest.foo: in03: r0:{new00}
BasicTest.foo: in03: r1:{new01}

BasicTest.foo: in04: r0:{new00}
BasicTest.foo: in04: r1:{new01}

BasicTest.foo: in06: r0:{new00}
BasicTest.foo: in06: r1:{new01}


Iteration 4:
BasicTest.foo: in01: r0:{new00}

BasicTest.foo: in02: r0:{new00}
BasicTest.foo: in02: r1:{new01}

BasicTest.foo: in03: r0:{new00}
BasicTest.foo: in03: r1:{new01}

BasicTest.foo: in04: r0:{new00}
BasicTest.foo: in04: r1:{new01}

BasicTest.foo: in05: r0:{new00}
BasicTest.foo: in05: r1:{new01}
BasicTest.foo: in05: r2:{new00}

BasicTest.foo: in06: r0:{new00}
BasicTest.foo: in06: r1:{new01}


Iteration 5:
BasicTest.foo: in01: r0:{new00}

BasicTest.foo: in02: r0:{new00}
BasicTest.foo: in02: r1:{new01}

BasicTest.foo: in03: r0:{new00}
BasicTest.foo: in03: r1:{new01}

BasicTest.foo: in04: r0:{new00}
BasicTest.foo: in04: r1:{new01}

BasicTest.foo: in05: r0:{new00}
BasicTest.foo: in05: r1:{new01}
BasicTest.foo: in05: r2:{new00}

BasicTest.foo: in06: r0:{new00}
BasicTest.foo: in06: r1:{new01}

BasicTest.foo: in07: r0:{new00}
BasicTest.foo: in07: r1:{new01}
BasicTest.foo: in07: r2:{new00}


Iteration 6:
BasicTest.foo: in01: r0:{new00}

BasicTest.foo: in02: r0:{new00}
BasicTest.foo: in02: r1:{new01}

BasicTest.foo: in03: r0:{new00}
BasicTest.foo: in03: r1:{new01}

BasicTest.foo: in04: r0:{new00}
BasicTest.foo: in04: r1:{new01}

BasicTest.foo: in05: r0:{new00}
BasicTest.foo: in05: r1:{new01}
BasicTest.foo: in05: r2:{new00}

BasicTest.foo: in06: r0:{new00}
BasicTest.foo: in06: r1:{new01}

BasicTest.foo: in07: r0:{new00}
BasicTest.foo: in07: r1:{new01}
BasicTest.foo: in07: r2:{new00,new01}


Iteration 7:
BasicTest.foo: in01: r0:{new00}

BasicTest.foo: in02: r0:{new00}
BasicTest.foo: in02: r1:{new01}

BasicTest.foo: in03: r0:{new00}
BasicTest.foo: in03: r1:{new01}

BasicTest.foo: in04: r0:{new00}
