BasicTest.fun2: in01: i0:[2, 2]
BasicTest.fun2: in01: i1:[-inf, inf]

BasicTest.fun2: in02: i0:[2, 2]
BasicTest.fun2: in02: i1:[0, 0]

BasicTest.fun2: in03: i0:[2, 2]
BasicTest.fun2: in03: i1:[0, 0]
BasicTest.fun2: in06: i0:[2, 2]

BasicTest.fun2: in04: i0:[4, 4]
BasicTest.fun2: in04: i1:[0, 0]

BasicTest.fun2: in05: i0:[4, 4]
BasicTest.fun2: in05: i1:[1, 1]

BasicTest.fun2: in02: i0:[2, 4]
BasicTest.fun2: in02: i1:[0, 1]

BasicTest.fun2: in03: i0:[2, 4]
BasicTest.fun2: in03: i1:[0, 1]
BasicTest.fun2: in06: i0:[2, 4]

BasicTest.fun2: in04: i0:[4, 8]
BasicTest.fun2: in04: i1:[0, 1]

BasicTest.fun2: in05: i0:[4, 8]
BasicTest.fun2: in05: i1:[1, 2]

BasicTest.fun2: in02: i0:[2, 8]
BasicTest.fun2: in02: i1:[0, 2]

BasicTest.fun2: in03: i0:[2, 8]
BasicTest.fun2: in03: i1:[0, 2]
BasicTest.fun2: in06: i0:[2, 8]

BasicTest.fun2: in04: i0:[4, inf]
BasicTest.fun2: in04: i1:[0, 2]

BasicTest.fun2: in05: i0:[4, inf]
BasicTest.fun2: in05: i1:[1, 3]

BasicTest.fun2: in02: i0:[2, inf]
BasicTest.fun2: in02: i1:[0, 3]

BasicTest.fun2: in03: i0:[2, inf]
BasicTest.fun2: in03: i1:[0, 3]
BasicTest.fun2: in06: i0:[2, inf]

BasicTest.fun2: in04: i0:[4, inf]
BasicTest.fun2: in04: i1:[0, 3]

BasicTest.fun2: in05: i0:[4, inf]
BasicTest.fun2: in05: i1:[1, 4]

BasicTest.fun2: in02: i0:[2, inf]
BasicTest.fun2: in02: i1:[0, 4]

BasicTest.fun2: in03: i0:[2, inf]
BasicTest.fun2: in03: i1:[0, 4]
BasicTest.fun2: in06: i0:[2, inf]

BasicTest.fun2: in04: i0:[4, inf]
BasicTest.fun2: in04: i1:[0, 4]

BasicTest.fun2: in05: i0:[4, inf]
BasicTest.fun2: in05: i1:[1, 5]

BasicTest.fun2: in02: i0:[2, inf]
BasicTest.fun2: in02: i1:[0, 5]

BasicTest.fun2: in06: i0:[2, inf]
BasicTest.fun2: in06: i1:[5, 5]


